front_id,middle_id,pcb,port,middle_x_mm,middle_y_mm,back_x_mm,back_y_mm
A247,L255,24,4,160.5,110.0,119.153823,52.424793
A248,L256,24,7,180.5625,110.0,144.58358,52.424793
A249,L257,17,11,200.625,110.0,192.938648,125.583506
A250,L258,25,2,220.6875,110.0,184.462063,52.424793
A251,L259,25,4,240.75,110.0,201.415234,52.424793
A252,L260,18,10,260.8125,110.0,266.723474,125.583506
A253,L261,26,1,280.875,110.0,258.246888,52.424793
A254,L262,26,4,300.9375,110.0,283.676645,52.424793
A255,L263,26,6,321.0,110.0,300.629816,52.424793
A256,L264,19,2,-321.0,90.0,-309.106402,52.424793
A257,L265,19,13,-298.862069,90.0,-283.676645,36.579357
A258,L266,19,6,-276.724138,90.0,-275.200059,52.424793
A259,L267,20,2,-254.586207,90.0,-226.844991,52.424793
A260,L268,20,3,-232.448276,90.0,-218.368405,52.424793
A261,L269,20,6,-210.310345,90.0,-192.938648,52.424793
A262,L270,21,1,-188.172414,90.0,-153.060166,52.424793
A263,L271,21,3,-166.034483,90.0,-136.106995,52.424793
A264,L272,21,6,-143.896552,90.0,-110.677238,52.424793
A265,L273,21,8,-121.758621,90.0,-93.724066,52.424793
A266,L274,22,2,-99.62069,90.0,-62.32217,52.424793
A267,L275,22,12,-77.482759,90.0,-45.368998,36.579357
A268,L276,22,5,-55.344828,90.0,-36.892413,52.424793
A269,L277,22,6,-33.206897,90.0,-28.415827,52.424793
A270,L278,22,8,-11.068966,90.0,-11.462656,52.424793
A271,L279,23,1,11.068966,90.0,11.462656,52.424793
A272,L280,23,10,33.206897,90.0,19.939241,36.579357
A273,L281,23,4,55.344828,90.0,36.892413,52.424793
A274,L282,23,13,77.482759,90.0,45.368998,36.579357
A275,L283,23,7,99.62069,90.0,62.32217,52.424793
A276,L284,24,1,121.758621,90.0,93.724066,52.424793
A277,L285,24,3,143.896552,90.0,110.677238,52.424793
A278,L286,24,6,166.034483,90.0,136.106995,52.424793
